Reference;Value;Qty
C1,C2,C3,C4,C5,C6,C7,CC1,CKR1,CKR2,CKR4,CKR5,CKR6,CKR7,CKR9,CKR10,CPS2,CPS3;100nF;18
C8,CC2,CKR3,CKR8;4,7uFx6,3V;4
C9,C10;20pF;2
CPS1,CPS4;10uFx6,3v;2
D1,D2,DKR1,DKR2,DKR3,DKR4,DKR5,DKR6,DKR7,DKR8,DKR9,DKR10,DKR11,DKR12,DKR13,DKR14,DKR15,DKR16,DKR17,DKR18,DKR19,DKR20,DKR21,DKR22,DKR23,DKR24,DKR25,DKR26,DKR27,DKR28,DKR29,DKR30,DKR31,DKR32,DKR33,DKR34,DKR35,DKR36,DKR37,DKR38,DKR39,DKR40,DKR41,DKR42,DKR43,DKR44,DKR45,DKR46,DKR47,DKR48,DKR49,DKR50,DKR51,DKR52,DKR53,DKR54,DKR55,DKR56,DKR57,DKR58,DKR59,DKR60,DKR61,DKR62,DKR63,DKR64;1N4148;66
DPS1;1N5817;1
H1,H2;MountingHole_Pad;2
J1;DBG_UART;1
J2;BOOT2;1
J3;SWD;1
J4;BOOT;1
JC1;General_Keyboard 8x8;1
JC2;PROFI;1
JC3;ZX_Keyboard;1
JC4;USB;1
JPS1;POWER;1
LEDC1;RED;1
LEDC2;GREEN;1
LPS1;100uH;1
QC1;S9013;1
R1,R3;100kOm;2
R2,RC1;10kOm;2
RC2,RC4;47kOm;2
RC3;1kOm;1
RC5;22kOm;1
RC6;1.5kOm;1
RKR1;8X10kOm;1
SW1;RESET;1
U1;STM32F105R8Tx;1
UC1;STMPS2151MTR;1
UC2;USBLC6-2;1
UKR1,UKR2,UKR3,UKR4,UKR5,UKR6,UKR7,UKR8;74HC595;8
UPS1;LM1117-3.3;1
Y1;8MHz;1
